任务ID,来源,任务类型,任务域,子类,任务名称,任务层级,主验证层,T映射,PA映射,G映射,优先级,任务性质,推荐场景/触发,核心证据,通过判据,典型失败信号,失败优先追因,关联旧场景/备注
MAP-024,新增-v2,MAP,映射与桥接,映射,identity-based obligation filtering 映射完备,桥接,PA/G,T4/T5,PA7/PA8,G4/G6,P1,桥接,identity-based obligation filtering 映射完备,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-025,新增-v2,MAP,映射与桥接,映射,timeout breaker 映射完备,桥接,PA/G,T4,PA8,G4,P1,桥接,timeout breaker 映射完备,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-026,新增-v2,MAP,映射与桥接,映射,hysteresis lock 映射完备,桥接,PA/G,T3/T4,PA3/PA8,G3/G4,P1,桥接,hysteresis lock 映射完备,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-027,新增-v2,MAP,映射与桥接,映射,hazard 强制唤醒映射完备,桥接,PA/G,T3/T5,PA4/PA7,G5/G8,P1,桥接,hazard 强制唤醒映射完备,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-028,新增-v2,MAP,映射与桥接,映射,ContextCloseRequest/ClosedEvent 双向映射完备,桥接,PA/G,T2/T3,PA5/PA6,G1/G3/G7,P1,桥接,ContextCloseRequest/ClosedEvent 双向映射完备,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-029,新增-v2,MAP,映射与桥接,映射,任务证据字段与汇总矩阵字段一一对应,桥接,PA/G,T1/T2,PA1/PA5,Gm,P1,桥接,任务证据字段与汇总矩阵字段一一对应,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
MAP-030,新增-v2,MAP,映射与桥接,映射,任务库批次优先级与目标风险等级一致,桥接,PA/G,T3/T4,PA2/PA4/PA8,Gm,P1,桥接,任务库批次优先级与目标风险等级一致,映射表、模板文档、体系文档、对象定义,同一对象/任务/证据在层间有唯一、无矛盾的映射路径。,同一任务挂多个互斥条目；同一字段在不同层含义漂移。,层间桥接缺失、概念同名异义、真源与影子状态未分离。,
SYS-001,新增-v2,SYS,当前体系,上下文,Context 创建—参与—关闭全生命周期,体系绑定,G,T2/T3,PA5/PA6,G1/G3/G6,P0,体系绑定,Context 创建—参与—关闭全生命周期,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-002,新增-v2,SYS,当前体系,上下文,bounded session 截止后级联清栈,体系绑定,G,T2/T3,PA5/PA6,G1/G3/G6,P0,体系绑定,bounded session 截止后级联清栈,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-003,新增-v2,SYS,当前体系,上下文,persistent context 在长期运行中的归档,体系绑定,G,T3,PA2/PA6,G3/G7,P0,体系绑定,persistent context 在长期运行中的归档,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-004,新增-v2,SYS,当前体系,前景栈,ForegroundStack push/pop/repair,体系绑定,G,T2/T3,PA4/PA5,G2/G6,P0,体系绑定,ForegroundStack push/pop/repair,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-005,新增-v2,SYS,当前体系,前景栈,前景场关闭后 resume_token 恢复原任务,体系绑定,G,T3/T4,PA4/PA8,G3/G4/G6,P0,体系绑定,前景场关闭后 resume_token 恢复原任务,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-006,新增-v2,SYS,当前体系,本地场,物理场与前景场动作并集判定,体系绑定,G,T5,PA7/PA9,G5,P0,体系绑定,物理场与前景场动作并集判定,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-007,新增-v2,SYS,当前体系,本地场,低头族被点名的最小本地响应,体系绑定,G,T5,PA7/PA9,G5,P0,体系绑定,低头族被点名的最小本地响应,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-008,新增-v2,SYS,当前体系,能量,energy 归零进入 recovering 并带迟滞锁,体系绑定,G,T3/T4,PA3/PA8,G3/G4,P0,体系绑定,energy 归零进入 recovering 并带迟滞锁,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-009,新增-v2,SYS,当前体系,能量,recovering 期间屏蔽非紧急唤醒,体系绑定,G,T3/T4,PA3/PA8,G3/G4,P0,体系绑定,recovering 期间屏蔽非紧急唤醒,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-010,新增-v2,SYS,当前体系,睡眠,sleeping 状态下 hazard 唤醒优先级,体系绑定,G,T3/T5,PA4/PA7,G5/G8,P0,体系绑定,sleeping 状态下 hazard 唤醒优先级,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-011,新增-v2,SYS,当前体系,睡眠,sleep_debt 累积与偿还闭环,体系绑定,G,T3,PA3,G3,P0,体系绑定,sleep_debt 累积与偿还闭环,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-012,新增-v2,SYS,当前体系,通知,Notification surfaced/acked/expired/merged,体系绑定,G,T3,PA6,G3/G5,P0,体系绑定,Notification surfaced/acked/expired/merged,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-013,新增-v2,SYS,当前体系,通知,Notification fanout bounded + backpressure,体系绑定,G,T3/T5,PA2/PA7,G3/G5/G8,P0,体系绑定,Notification fanout bounded + backpressure,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-014,新增-v2,SYS,当前体系,通知,重复通知 collapse/merge,体系绑定,G,T3,PA2/PA6,G3/G8,P0,体系绑定,重复通知 collapse/merge,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-015,新增-v2,SYS,当前体系,义务,Obligation proposed→expired 全状态机,体系绑定,G,T3/T4,PA6/PA8,G4/G6,P0,体系绑定,Obligation proposed→expired 全状态机,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-016,新增-v2,SYS,当前体系,义务,Obligation blocked 后重新获得推进机会,体系绑定,G,T3/T4,PA4/PA8,G4/G6,P0,体系绑定,Obligation blocked 后重新获得推进机会,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-017,新增-v2,SYS,当前体系,义务,Identity-based obligation filtering,体系绑定,G,T4/T5,PA7/PA8,G4/G6,P0,体系绑定,Identity-based obligation filtering,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-018,新增-v2,SYS,当前体系,义务,循环阻塞义务的 deadlock breaker,体系绑定,G,T4,PA8,G4,P0,体系绑定,循环阻塞义务的 deadlock breaker,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-019,新增-v2,SYS,当前体系,写回,WriteEvent-first durable 写回,体系绑定,G,T2/T3,PA5/PA6,G1/G7,P0,体系绑定,WriteEvent-first durable 写回,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-020,新增-v2,SYS,当前体系,写回,ActionReceipt 到达前禁止 durable 成功写回,体系绑定,G,T2,PA5,G1/G7,P0,体系绑定,ActionReceipt 到达前禁止 durable 成功写回,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-021,新增-v2,SYS,当前体系,写回,WritebackLedger replay 幂等,体系绑定,G,T2/T3,PA5/PA6,G1/G7,P0,体系绑定,WritebackLedger replay 幂等,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-022,新增-v2,SYS,当前体系,写回,StagingLedger 长滞留清理,体系绑定,G,T3,PA2/PA6,G3/G7,P0,体系绑定,StagingLedger 长滞留清理,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-023,新增-v2,SYS,当前体系,租约,resource lease 获取/续租/过期/释放,体系绑定,G,T2/T3,PA5/PA6,G6/G7,P0,体系绑定,resource lease 获取/续租/过期/释放,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-024,新增-v2,SYS,当前体系,租约,lease 过期后旧写入被 fencing token 拒绝,体系绑定,G,T2,PA5,G7,P0,体系绑定,lease 过期后旧写入被 fencing token 拒绝,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-025,新增-v2,SYS,当前体系,路由,emit→route→apply 四阶段闭环,体系绑定,G,T2/T5,PA1/PA9,G1/G5,P0,体系绑定,emit→route→apply 四阶段闭环,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-026,新增-v2,SYS,当前体系,路由,乱序消息不破坏真源,体系绑定,G,T2/T3,PA5/PA6,G1/G7,P0,体系绑定,乱序消息不破坏真源,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-027,新增-v2,SYS,当前体系,路由,网络分区后的 split-brain 修复,体系绑定,G,T2/T3,PA5/PA6,G7,P0,体系绑定,网络分区后的 split-brain 修复,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-028,新增-v2,SYS,当前体系,工程,掉线重连后的状态重建,体系绑定,G,T3,PA3/PA4,G7,P0,体系绑定,掉线重连后的状态重建,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-029,新增-v2,SYS,当前体系,工程,系统重启后的 replay + jitter,体系绑定,G,T3,PA3/PA6,G7/G8,P1,体系绑定,系统重启后的 replay + jitter,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-030,新增-v2,SYS,当前体系,工程,时钟漂移下 TTL/截止语义保持一致,体系绑定,G,T2/T3,PA1/PA6,G7,P1,体系绑定,时钟漂移下 TTL/截止语义保持一致,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-031,新增-v2,SYS,当前体系,过载,大规模群聊 mention 风暴降载,体系绑定,G,T3/T5,PA2/PA7,G8,P0,体系绑定,大规模群聊 mention 风暴降载,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-032,新增-v2,SYS,当前体系,过载,全局 overload_mode 切换与退出,体系绑定,G,T3,PA2/PA4,G8,P0,体系绑定,全局 overload_mode 切换与退出,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-033,新增-v2,SYS,当前体系,持久化,日志 compaction / archive / snapshot,体系绑定,G,T3,PA2/PA6,G7/G8,P1,体系绑定,日志 compaction / archive / snapshot,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-034,新增-v2,SYS,当前体系,持久化,继续运行链 continue-as-new / rollover,体系绑定,G,T3,PA2/PA6,G7/G8,P1,体系绑定,继续运行链 continue-as-new / rollover,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-035,新增-v2,SYS,当前体系,灾害,世界级地震触发 hazard broadcast,体系绑定,G,T3/T5,PA4/PA7/PA9,G5/G8,P0,体系绑定,世界级地震触发 hazard broadcast,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-036,新增-v2,SYS,当前体系,灾害,火山/火灾/停电导致场强制关闭迁移,体系绑定,G,T3/T5,PA4/PA6/PA9,G5/G8,P1,体系绑定,火山/火灾/停电导致场强制关闭迁移,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-037,新增-v2,SYS,当前体系,灾害,物理道路封锁改变可达 field 与 obligation,体系绑定,G,T5,PA7/PA9,G5/G8,P1,体系绑定,物理道路封锁改变可达 field 与 obligation,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-038,新增-v2,SYS,当前体系,灾害,医院超载/资源稀缺场景的抢占调度,体系绑定,G,T3/T4,PA3/PA4/PA8,G3/G4/G8,P1,体系绑定,医院超载/资源稀缺场景的抢占调度,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-039,新增-v2,SYS,当前体系,多智能体,多 agent 协作任务的 participant/role 一致性,体系绑定,G,T2/T5,PA5/PA7/PA9,G5/G6,P1,体系绑定,多 agent 协作任务的 participant/role 一致性,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-040,新增-v2,SYS,当前体系,多智能体,多人同时 claim 同一 deliverable 的冲突仲裁,体系绑定,G,T2/T3,PA5/PA6,G6/G7,P1,体系绑定,多人同时 claim 同一 deliverable 的冲突仲裁,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-041,新增-v2,SYS,当前体系,进展,长期无净进展但消息活跃的伪活性识别,体系绑定,G,T4,PA8,G4,P1,体系绑定,长期无净进展但消息活跃的伪活性识别,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-042,新增-v2,SYS,当前体系,进展,合法静息期不被误判为空转,体系绑定,G,T4,PA8,G4,P1,体系绑定,合法静息期不被误判为空转,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-043,新增-v2,SYS,当前体系,长期运行,从 rest→work→rest 的日周期长期稳定,体系绑定,G,T3/T4,PA2/PA3/PA8,G3/G4,P1,体系绑定,从 rest→work→rest 的日周期长期稳定,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-044,新增-v2,SYS,当前体系,长期运行,跨日、跨周累计任务与精力债务平衡,体系绑定,G,T3/T4,PA2/PA3/PA8,G3/G4,P1,体系绑定,跨日、跨周累计任务与精力债务平衡,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-045,新增-v2,SYS,当前体系,长期运行,海量 context 共存下路由局部化,体系绑定,G,T3/T5,PA2/PA7/PA9,G3/G5/G8,P1,体系绑定,海量 context 共存下路由局部化,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-046,新增-v2,SYS,当前体系,长期运行,海量 agent 并发下不全局扫描,体系绑定,G,T3,PA2,G8,P1,体系绑定,海量 agent 并发下不全局扫描,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-047,新增-v2,SYS,当前体系,工程,模型调用失败不阻塞热路径,体系绑定,G,T3,PA4,G8,P1,体系绑定,模型调用失败不阻塞热路径,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-048,新增-v2,SYS,当前体系,工程,慢存储不阻塞热路径,体系绑定,G,T3,PA4,G8,P1,体系绑定,慢存储不阻塞热路径,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-049,新增-v2,SYS,当前体系,治理,人工强制介入与系统自动规则的边界,体系绑定,G,T2/T5,PA5/PA9,G6/G7,P1,体系绑定,人工强制介入与系统自动规则的边界,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
SYS-050,新增-v2,SYS,当前体系,治理,规则热更新不破坏已有 durable 真源,体系绑定,G,T2/T3,PA5/PA6,G7,P1,体系绑定,规则热更新不破坏已有 durable 真源,当前体系 6+2 文档、对象定义、场景记录、日志/状态快照,在当前对象与规则下闭环，且可向上解释到对应 T/PA/G。,字段漂移、状态机缺边、真源冲突、无终局、无恢复、过载失控。,当前体系对象定义不完备、桥接层未写清、工程保护缺失。,
LEGACY-E001,继承-320场景,SYS,通知与背压,通知风暴,public_many 场每秒上千条新帖同时到达,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,public_many 场每秒上千条新帖同时到达,E_STORM + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I06,I13",有节流、折叠、TTL 与 overload_mode，但 overload_mode 的切换与全局 shed 规则不完整。,E001
LEGACY-E002,继承-320场景,SYS,通知与背压,通知风暴,同一 agent 在 10 个群同时被 @,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,同一 agent 在 10 个群同时被 @,E_STORM + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,令牌桶是 agent×context 维度，跨 context 总预算未充分定义。,E002
LEGACY-E003,继承-320场景,SYS,通知与背压,通知风暴,同一 urgent alarm 被不同服务重复投递 5 次,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,同一 urgent alarm 被不同服务重复投递 5 次,E_OPS + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,"I13,I15",结构支持幂等与折叠，但跨服务语义重复依赖外部约定。,E003
LEGACY-E004,继承-320场景,SYS,通知与背压,通知风暴,连续 urgent + direct + mention 混合到达导致优先级倒挂,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,连续 urgent + direct + mention 混合到达导致优先级倒挂,E_STORM + E_OPS,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I13,折叠有利于稳定，但可能损失低优语义；文档未给保留下界。,E004
LEGACY-E005,继承-320场景,SYS,通知与背压,通知风暴,call 与普通消息同时到达,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,call 与普通消息同时到达,E_OPS + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,,call 的 modality 提升规则清楚。,E005
LEGACY-E006,继承-320场景,SYS,通知与背压,通知风暴,overload_mode 从 normal 切到 degraded 的阈值不明,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,overload_mode 从 normal 切到 degraded 的阈值不明,E_INDEX + E_COMBO,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,存在字段，没有完整状态机。,E006
LEGACY-E007,继承-320场景,SYS,通知与背压,通知风暴,degraded 模式下哪些通知被 shed 不清,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,degraded 模式下哪些通知被 shed 不清,E_INDEX + E_STORM,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I06,只有方向，没有完整 admission/shed 规则。,E007
LEGACY-E008,继承-320场景,SYS,通知与背压,通知风暴,group+forum 双 backlog 长期积压,场景级,G,T3/T4/T5,PA2/PA4/PA6/PA7,G3/G4/G5/G8,P0,极端,group+forum 双 backlog 长期积压,E_STORM + E_COMBO + E_INDEX,沿既定规则闭环；无新增未解释断点；与原文证据一致。,I13,可通过窗口与 TTL 控制，但统一清扫器未完全落地。,E008
